,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
30242,2012,London,Football,Football,Jaesuk Oh,KOR,Men,Football,Bronze,"Korea, South",
30243,2012,London,Football,Football,Chuyoung Park,KOR,Men,Football,Bronze,"Korea, South",
30244,2012,London,Football,Football,Jongwoo Park,KOR,Men,Football,Bronze,"Korea, South",
30245,2012,London,Football,Football,Sukyoung Yun,KOR,Men,Football,Bronze,"Korea, South",
30246,2012,London,Football,Football,Nicole Barnhart,USA,Women,Football,Gold,United States,
30247,2012,London,Football,Football,Shannon Boxx,USA,Women,Football,Gold,United States,
30248,2012,London,Football,Football,Rachel Buehler,USA,Women,Football,Gold,United States,
30249,2012,London,Football,Football,Lauren Cheney,USA,Women,Football,Gold,United States,
30250,2012,London,Football,Football,Tobin Heath,USA,Women,Football,Gold,United States,
30251,2012,London,Football,Football,Amy Le Peilbet,USA,Women,Football,Gold,United States,
30252,2012,London,Football,Football,Sydney Leroux,USA,Women,Football,Gold,United States,
30253,2012,London,Football,Football,Carli Lloyd,USA,Women,Football,Gold,United States,
30254,2012,London,Football,Football,Heather Mitts,USA,Women,Football,Gold,United States,
30255,2012,London,Football,Football,Alexandra Patricia Morgan,USA,Women,Football,Gold,United States,
30256,2012,London,Football,Football,Heather O Reilly,USA,Women,Football,Gold,United States,
30257,2012,London,Football,Football,Kelley Ohara,USA,Women,Football,Gold,United States,
30258,2012,London,Football,Football,Christie Rampone,USA,Women,Football,Gold,United States,
30259,2012,London,Football,Football,Megan Rapinoe,USA,Women,Football,Gold,United States,
30260,2012,London,Football,Football,Amy Rodriguez,USA,Women,Football,Gold,United States,
30261,2012,London,Football,Football,Becky Sauerbrunn,USA,Women,Football,Gold,United States,
30262,2012,London,Football,Football,Hope Solo,USA,Women,Football,Gold,United States,
30263,2012,London,Football,Football,Abby Wambach,USA,Women,Football,Gold,United States,
30264,2012,London,Football,Football,Kozue Ando,JPN,Women,Football,Silver,Japan,
30265,2012,London,Football,Football,Miho Fukumoto,JPN,Women,Football,Silver,Japan,
30266,2012,London,Football,Football,Mana Iwabuchi,JPN,Women,Football,Silver,Japan,
30267,2012,London,Football,Football,Azusa Iwashimizu,JPN,Women,Football,Silver,Japan,
30268,2012,London,Football,Football,Ayumi Kaihori,JPN,Women,Football,Silver,Japan,
30269,2012,London,Football,Football,Nahomi Kawasumi,JPN,Women,Football,Silver,Japan,
30270,2012,London,Football,Football,Yukari Kinga,JPN,Women,Football,Silver,Japan,
30271,2012,London,Football,Football,Saki Kumagai,JPN,Women,Football,Silver,Japan,
30272,2012,London,Football,Football,Karina Maruyama,JPN,Women,Football,Silver,Japan,
30273,2012,London,Football,Football,Aya Miyama,JPN,Women,Football,Silver,Japan,
30274,2012,London,Football,Football,Yuki Ogimi,JPN,Women,Football,Silver,Japan,
30275,2012,London,Football,Football,Shinobu Ohno,JPN,Women,Football,Silver,Japan,
30276,2012,London,Football,Football,Mizuho Sakaguchi,JPN,Women,Football,Silver,Japan,
30277,2012,London,Football,Football,Aya Sameshima,JPN,Women,Football,Silver,Japan,
30278,2012,London,Football,Football,Homare Sawa,JPN,Women,Football,Silver,Japan,
30279,2012,London,Football,Football,Megumi Takase,JPN,Women,Football,Silver,Japan,
30280,2012,London,Football,Football,Asuna Tanaka,JPN,Women,Football,Silver,Japan,
30281,2012,London,Football,Football,Kyoko Yano,JPN,Women,Football,Silver,Japan,
30282,2012,London,Football,Football,Melanie Booth,CAN,Women,Football,Bronze,Canada,
30283,2012,London,Football,Football,Candace Marie Chapman,CAN,Women,Football,Bronze,Canada,
30284,2012,London,Football,Football,Jonelle Filigno,CAN,Women,Football,Bronze,Canada,
30285,2012,London,Football,Football,Robyn Krista Gayle,CAN,Women,Football,Bronze,Canada,
30286,2012,London,Football,Football,Kaylyn Mckenzie Kyle,CAN,Women,Football,Bronze,Canada,
30287,2012,London,Football,Football,Karina Chenelle Leblanc,CAN,Women,Football,Bronze,Canada,
30288,2012,London,Football,Football,Diana Beverly Matheson,CAN,Women,Football,Bronze,Canada,
30289,2012,London,Football,Football,Erin Katrina Mcleod,CAN,Women,Football,Bronze,Canada,
30290,2012,London,Football,Football,Carmelina Moscato,CAN,Women,Football,Bronze,Canada,
30291,2012,London,Football,Football,Marie-Eve Nault,CAN,Women,Football,Bronze,Canada,
30292,2012,London,Football,Football,Kelly Parker,CAN,Women,Football,Bronze,Canada,
30293,2012,London,Football,Football,Sophie Diana Schmidt,CAN,Women,Football,Bronze,Canada,
30294,2012,London,Football,Football,Desiree Rose Marie Scott,CAN,Women,Football,Bronze,Canada,
30295,2012,London,Football,Football,Lauren Marie Sesselmann,CAN,Women,Football,Bronze,Canada,
30296,2012,London,Football,Football,Christine Margaret Sinclair,CAN,Women,Football,Bronze,Canada,
30297,2012,London,Football,Football,Chelsea Blaine Stewart,CAN,Women,Football,Bronze,Canada,
30298,2012,London,Football,Football,Melissa Palma Julie Tancredi,CAN,Women,Football,Bronze,Canada,
30299,2012,London,Football,Football,Brittany Amanda Timko,CAN,Women,Football,Bronze,Canada,
30300,2012,London,Football,Football,Rhian Emilie Wilkinson,CAN,Women,Football,Bronze,Canada,
30301,2012,London,Football,Football,Emily Jane Zurrer,CAN,Women,Football,Bronze,Canada,
30302,2012,London,Gymnastics,Gymnastics Artistic,Linlin Deng,CHN,Women,Beam,Gold,China,
30303,2012,London,Gymnastics,Gymnastics Artistic,Lu Sui,CHN,Women,Beam,Silver,China,
30304,2012,London,Gymnastics,Gymnastics Artistic,Alexandra Raisman,USA,Women,Beam,Bronze,United States,
30305,2012,London,Gymnastics,Gymnastics Artistic,Kai Zou,CHN,Men,Floor Exercises,Gold,China,
30306,2012,London,Gymnastics,Gymnastics Artistic,Kohei Uchimura,JPN,Men,Floor Exercises,Silver,Japan,
30307,2012,London,Gymnastics,Gymnastics Artistic,Denis Ablyazin,RUS,Men,Floor Exercises,Bronze,Russia,
30308,2012,London,Gymnastics,Gymnastics Artistic,Alexandra Raisman,USA,Women,Floor Exercises,Gold,United States,
30309,2012,London,Gymnastics,Gymnastics Artistic,Catalina Ponor,ROM,Women,Floor Exercises,Silver,Romania,
30310,2012,London,Gymnastics,Gymnastics Artistic,Aliya Mustafina,RUS,Women,Floor Exercises,Bronze,Russia,
30311,2012,London,Gymnastics,Gymnastics Artistic,Epke Zonderland,NED,Men,Horizontal Bar,Gold,Netherlands,
30312,2012,London,Gymnastics,Gymnastics Artistic,Fabian Hambuechen,GER,Men,Horizontal Bar,Silver,Germany,
30313,2012,London,Gymnastics,Gymnastics Artistic,Kai Zou,CHN,Men,Horizontal Bar,Bronze,China,
30314,2012,London,Gymnastics,Gymnastics Artistic,Kohei Uchimura,JPN,Men,Individual All-Around,Gold,Japan,
30315,2012,London,Gymnastics,Gymnastics Artistic,Marcel Nguyen,GER,Men,Individual All-Around,Silver,Germany,
30316,2012,London,Gymnastics,Gymnastics Artistic,Danell Leyva,USA,Men,Individual All-Around,Bronze,United States,
30317,2012,London,Gymnastics,Gymnastics Artistic,Gabrielle Douglas,USA,Women,Individual All-Around,Gold,United States,
30318,2012,London,Gymnastics,Gymnastics Artistic,Victoria Komova,RUS,Women,Individual All-Around,Silver,Russia,
30319,2012,London,Gymnastics,Gymnastics Artistic,Aliya Mustafina,RUS,Women,Individual All-Around,Bronze,Russia,
30320,2012,London,Gymnastics,Gymnastics Artistic,Zhe Feng,CHN,Men,Parallel Bars,Gold,China,
