,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
29157,2008,Beijing,Wrestling,Wrestling Free.,Seyedmorad Mohammadi,IRI,Men,55 - 60KG,Bronze,Iran,
29158,2008,Beijing,Wrestling,Wrestling Free.,Kenichi Yumoto,JPN,Men,55 - 60KG,Bronze,Japan,
29159,2008,Beijing,Wrestling,Wrestling Free.,Mavlet Batirov,RUS,Men,55 - 60KG,Gold,Russia,
29160,2008,Beijing,Wrestling,Wrestling Free.,Vasyl Fedoryshyn,UKR,Men,55 - 60KG,Silver,Ukraine,
29161,2008,Beijing,Wrestling,Wrestling Free.,Randi Miller,USA,Women,55 - 63KG,Bronze,United States,
29162,2008,Beijing,Wrestling,Wrestling Free.,Yelena Shalygina,KAZ,Women,55 - 63KG,Bronze,Kazakhstan,
29163,2008,Beijing,Wrestling,Wrestling Free.,Kaori Icho,JPN,Women,55 - 63KG,Gold,Japan,
29164,2008,Beijing,Wrestling,Wrestling Free.,Alena Kartashova,RUS,Women,55 - 63KG,Silver,Russia,
29165,2008,Beijing,Wrestling,Wrestling Free.,Sushil Kumar,IND,Men,60 - 66KG,Bronze,India,
29166,2008,Beijing,Wrestling,Wrestling Free.,Otar Tushishvili,GEO,Men,60 - 66KG,Bronze,Georgia,
29167,2008,Beijing,Wrestling,Wrestling Free.,Ramazan Sahin,TUR,Men,60 - 66KG,Gold,Turkey,
29168,2008,Beijing,Wrestling,Wrestling Free.,Andriy Stadnik,UKR,Men,60 - 66KG,Silver,Ukraine,
29169,2008,Beijing,Wrestling,Wrestling Free.,Kyoko Hamaguchi,JPN,Women,63 - 72KG,Bronze,Japan,
29170,2008,Beijing,Wrestling,Wrestling Free.,Agnieszka Wieszczek,POL,Women,63 - 72KG,Bronze,Poland,
29171,2008,Beijing,Wrestling,Wrestling Free.,Jiao Wang,CHN,Women,63 - 72KG,Gold,China,
29172,2008,Beijing,Wrestling,Wrestling Free.,Stanka Zlateva,BUL,Women,63 - 72KG,Silver,Bulgaria,
29173,2008,Beijing,Wrestling,Wrestling Free.,Murad Gaidarov,BLR,Men,66 - 74KG,Bronze,Belarus,
29174,2008,Beijing,Wrestling,Wrestling Free.,Kiril Terziev,BUL,Men,66 - 74KG,Bronze,Bulgaria,
29175,2008,Beijing,Wrestling,Wrestling Free.,Buvaysa Saytiev,RUS,Men,66 - 74KG,Gold,Russia,
29176,2008,Beijing,Wrestling,Wrestling Free.,Soslan Tigiev,UZB,Men,66 - 74KG,Silver,Uzbekistan,
29177,2008,Beijing,Wrestling,Wrestling Free.,Taras Danko,UKR,Men,74 - 84KG,Bronze,Ukraine,
29178,2008,Beijing,Wrestling,Wrestling Free.,Georgy Ketoev,RUS,Men,74 - 84KG,Bronze,Russia,
29179,2008,Beijing,Wrestling,Wrestling Free.,Revazi Mindorashvili,GEO,Men,74 - 84KG,Gold,Georgia,
29180,2008,Beijing,Wrestling,Wrestling Free.,Yusup Abdusalomov,TJK,Men,74 - 84KG,Silver,Tajikistan,
29181,2008,Beijing,Wrestling,Wrestling Free.,Khetag Gazyumov,AZE,Men,84 - 96KG,Bronze,Azerbaijan,
29182,2008,Beijing,Wrestling,Wrestling Free.,George Gogshelidze,GEO,Men,84 - 96KG,Bronze,Georgia,
29183,2008,Beijing,Wrestling,Wrestling Free.,Shirvani Muradov,RUS,Men,84 - 96KG,Gold,Russia,
29184,2008,Beijing,Wrestling,Wrestling Free.,Taimuraz Tigiyev,KAZ,Men,84 - 96KG,Silver,Kazakhstan,
29185,2008,Beijing,Wrestling,Wrestling Free.,David Musulbes,SVK,Men,96 - 120KG,Bronze,Slovakia,
29186,2008,Beijing,Wrestling,Wrestling Free.,Marid Mutalimov,KAZ,Men,96 - 120KG,Bronze,Kazakhstan,
29187,2008,Beijing,Wrestling,Wrestling Free.,Artur Taymazov,UZB,Men,96 - 120KG,Gold,Uzbekistan,
29188,2008,Beijing,Wrestling,Wrestling Free.,Bakhtiyar Akhmedov,RUS,Men,96 - 120KG,Silver,Russia,
29189,2008,Beijing,Wrestling,Wrestling Gre-R,Roman Amoyan,ARM,Men,- 55KG,Bronze,Armenia,
29190,2008,Beijing,Wrestling,Wrestling Gre-R,Eun-Chul Park,KOR,Men,- 55KG,Bronze,"Korea, South",
29191,2008,Beijing,Wrestling,Wrestling Gre-R,Nazyr Mankiev,RUS,Men,- 55KG,Gold,Russia,
29192,2008,Beijing,Wrestling,Wrestling Gre-R,Rovshan Bayramov,AZE,Men,- 55KG,Silver,Azerbaijan,
29193,2008,Beijing,Wrestling,Wrestling Gre-R,Nurbakyt Tengizbayev,KAZ,Men,55 - 60KG,Bronze,Kazakhstan,
29194,2008,Beijing,Wrestling,Wrestling Gre-R,Ruslan Tiumenbaev,KGZ,Men,55 - 60KG,Bronze,Kyrgyzstan,
29195,2008,Beijing,Wrestling,Wrestling Gre-R,Islam-Beka Albiev,RUS,Men,55 - 60KG,Gold,Russia,
29196,2008,Beijing,Wrestling,Wrestling Gre-R,Vitaliy Rahimov,AZE,Men,55 - 60KG,Silver,Azerbaijan,
29197,2008,Beijing,Wrestling,Wrestling Gre-R,Mikhail Siamionau,BLR,Men,60 - 66KG,Bronze,Belarus,
29198,2008,Beijing,Wrestling,Wrestling Gre-R,Armen Vardanyan,UKR,Men,60 - 66KG,Bronze,Ukraine,
29199,2008,Beijing,Wrestling,Wrestling Gre-R,Steeve Guenot,FRA,Men,60 - 66KG,Gold,France,
29200,2008,Beijing,Wrestling,Wrestling Gre-R,Kanatbek Begaliev,KGZ,Men,60 - 66KG,Silver,Kyrgyzstan,
29201,2008,Beijing,Wrestling,Wrestling Gre-R,Christophe Guenot,FRA,Men,66 - 74KG,Bronze,France,
29202,2008,Beijing,Wrestling,Wrestling Gre-R,Yavor Yanakiev,BUL,Men,66 - 74KG,Bronze,Bulgaria,
29203,2008,Beijing,Wrestling,Wrestling Gre-R,Manuchar Kvirkelia,GEO,Men,66 - 74KG,Gold,Georgia,
29204,2008,Beijing,Wrestling,Wrestling Gre-R,Yongxiang Chang,CHN,Men,66 - 74KG,Silver,China,
29205,2008,Beijing,Wrestling,Wrestling Gre-R,Nazmi Avluca,TUR,Men,74 - 84KG,Bronze,Turkey,
29206,2008,Beijing,Wrestling,Wrestling Gre-R,Andrea Minguzzi,ITA,Men,74 - 84KG,Gold,Italy,
29207,2008,Beijing,Wrestling,Wrestling Gre-R,Zoltan Fodor,HUN,Men,74 - 84KG,Silver,Hungary,
29208,2008,Beijing,Wrestling,Wrestling Gre-R,Asset Mambetov,KAZ,Men,84 - 96KG,Bronze,Kazakhstan,
29209,2008,Beijing,Wrestling,Wrestling Gre-R,Adam Wheeler,USA,Men,84 - 96KG,Bronze,United States,
29210,2008,Beijing,Wrestling,Wrestling Gre-R,Aslanbek Khushtov,RUS,Men,84 - 96KG,Gold,Russia,
29211,2008,Beijing,Wrestling,Wrestling Gre-R,Mirko Englich,GER,Men,84 - 96KG,Silver,Germany,
29212,2008,Beijing,Wrestling,Wrestling Gre-R,Mindaugas Mizgaitis,LTU,Men,96 - 120KG,Bronze,Lithuania,
29213,2008,Beijing,Wrestling,Wrestling Gre-R,Yuri Patrikeev,ARM,Men,96 - 120KG,Bronze,Armenia,
29214,2008,Beijing,Wrestling,Wrestling Gre-R,Mijain Lopez,CUB,Men,96 - 120KG,Gold,Cuba,
29215,2008,Beijing,Wrestling,Wrestling Gre-R,Khasan Baroev,RUS,Men,96 - 120KG,Silver,Russia,
29216,2012,London,Aquatics,Diving,David Boudia,USA,Men,10M Platform,Gold,United States,
29217,2012,London,Aquatics,Diving,Bo Qiu,CHN,Men,10M Platform,Silver,China,
29218,2012,London,Aquatics,Diving,Thomas Daley,GBR,Men,10M Platform,Bronze,United Kingdom,
29219,2012,London,Aquatics,Diving,Ruolin Chen,CHN,Women,10M Platform,Gold,China,
29220,2012,London,Aquatics,Diving,Brittany Broben,AUS,Women,10M Platform,Silver,Australia,
29221,2012,London,Aquatics,Diving,Pandelela Rinong Pamg,MAS,Women,10M Platform,Bronze,Malaysia,
29222,2012,London,Aquatics,Diving,Ilya Zakharov,RUS,Men,3M Springboard,Gold,Russia,
29223,2012,London,Aquatics,Diving,Kai Qin,CHN,Men,3M Springboard,Silver,China,
29224,2012,London,Aquatics,Diving,Chong He,CHN,Men,3M Springboard,Bronze,China,
29225,2012,London,Aquatics,Diving,Minxia Wu,CHN,Women,3M Springboard,Gold,China,
29226,2012,London,Aquatics,Diving,Zi He,CHN,Women,3M Springboard,Silver,China,
29227,2012,London,Aquatics,Diving,Laura Sanchez Soto,MEX,Women,3M Springboard,Bronze,Mexico,
29228,2012,London,Aquatics,Diving,Yuan Cao,CHN,Men,Synchronized 10M,Gold,China,
29229,2012,London,Aquatics,Diving,Yanquan Zhang,CHN,Men,Synchronized 10M,Gold,China,
29230,2012,London,Aquatics,Diving,Ivan Garcia Navarro,MEX,Men,Synchronized 10M,Silver,Mexico,
29231,2012,London,Aquatics,Diving,German Sanchez,MEX,Men,Synchronized 10M,Silver,Mexico,
29232,2012,London,Aquatics,Diving,David Boudia,USA,Men,Synchronized 10M,Bronze,United States,
29233,2012,London,Aquatics,Diving,Nicholas Mccrory,USA,Men,Synchronized 10M,Bronze,United States,
29234,2012,London,Aquatics,Diving,Ruolin Chen,CHN,Women,Synchronized 10M,Gold,China,
29235,2012,London,Aquatics,Diving,Hao Wang,CHN,Women,Synchronized 10M,Gold,China,
29236,2012,London,Aquatics,Diving,Paola Espinosa,MEX,Women,Synchronized 10M,Silver,Mexico,
29237,2012,London,Aquatics,Diving,Alejandra Orozco Loza,MEX,Women,Synchronized 10M,Silver,Mexico,
29238,2012,London,Aquatics,Diving,Meaghan Benfeito,CAN,Women,Synchronized 10M,Bronze,Canada,
29239,2012,London,Aquatics,Diving,Roseline Filion,CAN,Women,Synchronized 10M,Bronze,Canada,
29240,2012,London,Aquatics,Diving,Yutong Luo,CHN,Men,Synchronized 3M,Gold,China,
29241,2012,London,Aquatics,Diving,Kai Qin,CHN,Men,Synchronized 3M,Gold,China,
29242,2012,London,Aquatics,Diving,Evgeny Kuznetsov,RUS,Men,Synchronized 3M,Silver,Russia,
29243,2012,London,Aquatics,Diving,Ilya Zakharov,RUS,Men,Synchronized 3M,Silver,Russia,
29244,2012,London,Aquatics,Diving,Troy Dumais,USA,Men,Synchronized 3M,Bronze,United States,
29245,2012,London,Aquatics,Diving,Kristian Ipsen,USA,Men,Synchronized 3M,Bronze,United States,
29246,2012,London,Aquatics,Diving,Zi He,CHN,Women,Synchronized 3M,Gold,China,
29247,2012,London,Aquatics,Diving,Minxia Wu,CHN,Women,Synchronized 3M,Gold,China,
29248,2012,London,Aquatics,Diving,Kelci Bryant,USA,Women,Synchronized 3M,Silver,United States,
29249,2012,London,Aquatics,Diving,Abigail Johnston,USA,Women,Synchronized 3M,Silver,United States,
29250,2012,London,Aquatics,Diving,Jennifer Abel,CAN,Women,Synchronized 3M,Bronze,Canada,
29251,2012,London,Aquatics,Diving,Emilie Heymans,CAN,Women,Synchronized 3M,Bronze,Canada,
29252,2012,London,Aquatics,Marathon swimming,Oussama Mellouli,TUN,Men,10KM,Gold,Tunisia,
29253,2012,London,Aquatics,Marathon swimming,Thomas Lurz,GER,Men,10KM,Silver,Germany,
29254,2012,London,Aquatics,Marathon swimming,Richard Weinberger,CAN,Men,10KM,Bronze,Canada,
29255,2012,London,Aquatics,Marathon swimming,Eva Risztov,HUN,Women,10KM,Gold,Hungary,
29256,2012,London,Aquatics,Marathon swimming,Haley Anderson,USA,Women,10KM,Silver,United States,
29257,2012,London,Aquatics,Marathon swimming,Martina Grimaldi,ITA,Women,10KM,Bronze,Italy,
29258,2012,London,Aquatics,Swimming,Matthew Grevers,USA,Men,100M Backstroke,Gold,United States,
29259,2012,London,Aquatics,Swimming,Nick Thoman,USA,Men,100M Backstroke,Silver,United States,
29260,2012,London,Aquatics,Swimming,Ryosuke Irie,JPN,Men,100M Backstroke,Bronze,Japan,
29261,2012,London,Aquatics,Swimming,Missy Franklin,USA,Women,100M Backstroke,Gold,United States,
29262,2012,London,Aquatics,Swimming,Emily Seebohm,AUS,Women,100M Backstroke,Silver,Australia,
29263,2012,London,Aquatics,Swimming,Aya Terakawa,JPN,Women,100M Backstroke,Bronze,Japan,
29264,2012,London,Aquatics,Swimming,Cameron Van Der Burgh,RSA,Men,100M Breaststroke,Gold,South Africa,
29265,2012,London,Aquatics,Swimming,Christian Sprenger,AUS,Men,100M Breaststroke,Silver,Australia,
29266,2012,London,Aquatics,Swimming,Brendan Hansen,USA,Men,100M Breaststroke,Bronze,United States,
29267,2012,London,Aquatics,Swimming,Ruta Meilutyte,LTU,Women,100M Breaststroke,Gold,Lithuania,
29268,2012,London,Aquatics,Swimming,Rebecca Soni,USA,Women,100M Breaststroke,Silver,United States,
29269,2012,London,Aquatics,Swimming,Satomi Suzuki,JPN,Women,100M Breaststroke,Bronze,Japan,
29270,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,100M Butterfly,Gold,United States,
29271,2012,London,Aquatics,Swimming,Evgeny Korotyshkin,RUS,Men,100M Butterfly,Silver,Russia,
29272,2012,London,Aquatics,Swimming,Chad Le Clos,RSA,Men,100M Butterfly,Silver,South Africa,
29273,2012,London,Aquatics,Swimming,Dana Vollmer,USA,Women,100M Butterfly,Gold,United States,
29274,2012,London,Aquatics,Swimming,Ying Lu,CHN,Women,100M Butterfly,Silver,China,
29275,2012,London,Aquatics,Swimming,Alicia Coutts,AUS,Women,100M Butterfly,Bronze,Australia,
29276,2012,London,Aquatics,Swimming,Nathan Adrian,USA,Men,100M Freestyle,Gold,United States,
29277,2012,London,Aquatics,Swimming,James Magnussen,AUS,Men,100M Freestyle,Silver,Australia,
29278,2012,London,Aquatics,Swimming,Brent Hayden,CAN,Men,100M Freestyle,Bronze,Canada,
29279,2012,London,Aquatics,Swimming,Ranomi Kromowidjojo,NED,Women,100M Freestyle,Gold,Netherlands,
29280,2012,London,Aquatics,Swimming,Aleksandra Gerasimenya,BLR,Women,100M Freestyle,Silver,Belarus,
29281,2012,London,Aquatics,Swimming,Yi Tang,CHN,Women,100M Freestyle,Bronze,China,
29282,2012,London,Aquatics,Swimming,Yang Sun,CHN,Men,1500M Freestyle,Gold,China,
29283,2012,London,Aquatics,Swimming,Ryan Cochrane,CAN,Men,1500M Freestyle,Silver,Canada,
29284,2012,London,Aquatics,Swimming,Oussama Mellouli,TUN,Men,1500M Freestyle,Bronze,Tunisia,
29285,2012,London,Aquatics,Swimming,Tyler Clary,USA,Men,200M Backstroke,Gold,United States,
29286,2012,London,Aquatics,Swimming,Ryosuke Irie,JPN,Men,200M Backstroke,Silver,Japan,
29287,2012,London,Aquatics,Swimming,Ryan Lochte,USA,Men,200M Backstroke,Bronze,United States,
29288,2012,London,Aquatics,Swimming,Missy Franklin,USA,Women,200M Backstroke,Gold,United States,
29289,2012,London,Aquatics,Swimming,Anastasia Zueva,RUS,Women,200M Backstroke,Silver,Russia,
29290,2012,London,Aquatics,Swimming,Elizabeth Beisel,USA,Women,200M Backstroke,Bronze,United States,
29291,2012,London,Aquatics,Swimming,Daniel Gyurta,HUN,Men,200M Breaststroke,Gold,Hungary,
29292,2012,London,Aquatics,Swimming,Michael Jamieson,GBR,Men,200M Breaststroke,Silver,United Kingdom,
29293,2012,London,Aquatics,Swimming,Ryo Tateishi,JPN,Men,200M Breaststroke,Bronze,Japan,
29294,2012,London,Aquatics,Swimming,Rebecca Soni,USA,Women,200M Breaststroke,Gold,United States,
29295,2012,London,Aquatics,Swimming,Satomi Suzuki,JPN,Women,200M Breaststroke,Silver,Japan,
29296,2012,London,Aquatics,Swimming,Iuliia Efimova,RUS,Women,200M Breaststroke,Bronze,Russia,
29297,2012,London,Aquatics,Swimming,Chad Le Clos,RSA,Men,200M Butterfly,Gold,South Africa,
29298,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,200M Butterfly,Silver,United States,
29299,2012,London,Aquatics,Swimming,Takeshi Matsuda,JPN,Men,200M Butterfly,Bronze,Japan,
29300,2012,London,Aquatics,Swimming,Liuyang Jiao,CHN,Women,200M Butterfly,Gold,China,
29301,2012,London,Aquatics,Swimming,Mireia Belmonte Garcia,ESP,Women,200M Butterfly,Silver,Spain,
29302,2012,London,Aquatics,Swimming,Natsumi Hoshi,JPN,Women,200M Butterfly,Bronze,Japan,
29303,2012,London,Aquatics,Swimming,Yannick Agnel,FRA,Men,200M Freestyle,Gold,France,
29304,2012,London,Aquatics,Swimming,Taehwan Park,KOR,Men,200M Freestyle,Silver,"Korea, South",
29305,2012,London,Aquatics,Swimming,Yang Sun,CHN,Men,200M Freestyle,Silver,China,
29306,2012,London,Aquatics,Swimming,Allison Schmitt,USA,Women,200M Freestyle,Gold,United States,
29307,2012,London,Aquatics,Swimming,Camille Muffat,FRA,Women,200M Freestyle,Silver,France,
29308,2012,London,Aquatics,Swimming,Bronte Barratt,AUS,Women,200M Freestyle,Bronze,Australia,
29309,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,200M Medley,Gold,United States,
29310,2012,London,Aquatics,Swimming,Ryan Lochte,USA,Men,200M Medley,Silver,United States,
29311,2012,London,Aquatics,Swimming,Laszlo Cseh,HUN,Men,200M Medley,Bronze,Hungary,
29312,2012,London,Aquatics,Swimming,Shiwen Ye,CHN,Women,200M Medley,Gold,China,
29313,2012,London,Aquatics,Swimming,Alicia Coutts,AUS,Women,200M Medley,Silver,Australia,
29314,2012,London,Aquatics,Swimming,Caitlin Leverenz,USA,Women,200M Medley,Bronze,United States,
29315,2012,London,Aquatics,Swimming,Yang Sun,CHN,Men,400M Freestyle,Gold,China,
29316,2012,London,Aquatics,Swimming,Taehwan Park,KOR,Men,400M Freestyle,Silver,"Korea, South",
29317,2012,London,Aquatics,Swimming,Peter Vanderkaay,USA,Men,400M Freestyle,Bronze,United States,
29318,2012,London,Aquatics,Swimming,Camille Muffat,FRA,Women,400M Freestyle,Gold,France,
29319,2012,London,Aquatics,Swimming,Allison Schmitt,USA,Women,400M Freestyle,Silver,United States,
29320,2012,London,Aquatics,Swimming,Rebecca Adlington,GBR,Women,400M Freestyle,Bronze,United Kingdom,
29321,2012,London,Aquatics,Swimming,Ryan Lochte,USA,Men,400M Medley,Gold,United States,
29322,2012,London,Aquatics,Swimming,Thiago Pereira,BRA,Men,400M Medley,Silver,Brazil,
29323,2012,London,Aquatics,Swimming,Kosuke Hagino,JPN,Men,400M Medley,Bronze,Japan,
29324,2012,London,Aquatics,Swimming,Shiwen Ye,CHN,Women,400M Medley,Gold,China,
29325,2012,London,Aquatics,Swimming,Elizabeth Beisel,USA,Women,400M Medley,Silver,United States,
29326,2012,London,Aquatics,Swimming,Xuanxu Li,CHN,Women,400M Medley,Bronze,China,
29327,2012,London,Aquatics,Swimming,Yannick Agnel,FRA,Men,4X100M Freestyle,Gold,France,
29328,2012,London,Aquatics,Swimming,Alain Bernard,FRA,Men,4X100M Freestyle,Gold,France,
29329,2012,London,Aquatics,Swimming,Fabien Gilot,FRA,Men,4X100M Freestyle,Gold,France,
29330,2012,London,Aquatics,Swimming,Clement Lefert,FRA,Men,4X100M Freestyle,Gold,France,
29331,2012,London,Aquatics,Swimming,Amaury Leveaux,FRA,Men,4X100M Freestyle,Gold,France,
29332,2012,London,Aquatics,Swimming,Jeremy Stravius,FRA,Men,4X100M Freestyle,Gold,France,
29333,2012,London,Aquatics,Swimming,Nathan Adrian,USA,Men,4X100M Freestyle,Silver,United States,
29334,2012,London,Aquatics,Swimming,Ricky Berens,USA,Men,4X100M Freestyle,Silver,United States,
29335,2012,London,Aquatics,Swimming,James Feigen,USA,Men,4X100M Freestyle,Silver,United States,
29336,2012,London,Aquatics,Swimming,Matthew Grevers,USA,Men,4X100M Freestyle,Silver,United States,
29337,2012,London,Aquatics,Swimming,Cullen Jones,USA,Men,4X100M Freestyle,Silver,United States,
29338,2012,London,Aquatics,Swimming,Jason Lezak,USA,Men,4X100M Freestyle,Silver,United States,
29339,2012,London,Aquatics,Swimming,Ryan Lochte,USA,Men,4X100M Freestyle,Silver,United States,
29340,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,4X100M Freestyle,Silver,United States,
29341,2012,London,Aquatics,Swimming,Sergei Fesikov,RUS,Men,4X100M Freestyle,Bronze,Russia,
29342,2012,London,Aquatics,Swimming,Andrey Grechin,RUS,Men,4X100M Freestyle,Bronze,Russia,
29343,2012,London,Aquatics,Swimming,Danila Izotov,RUS,Men,4X100M Freestyle,Bronze,Russia,
29344,2012,London,Aquatics,Swimming,Evgeny Lagunov,RUS,Men,4X100M Freestyle,Bronze,Russia,
29345,2012,London,Aquatics,Swimming,Nikita Lobintsev,RUS,Men,4X100M Freestyle,Bronze,Russia,
29346,2012,London,Aquatics,Swimming,Vladimir Morozov,RUS,Men,4X100M Freestyle,Bronze,Russia,
29347,2012,London,Aquatics,Swimming,Cate Campbell,AUS,Women,4X100M Freestyle,Gold,Australia,
29348,2012,London,Aquatics,Swimming,Alicia Coutts,AUS,Women,4X100M Freestyle,Gold,Australia,
29349,2012,London,Aquatics,Swimming,Brittany Elmslie,AUS,Women,4X100M Freestyle,Gold,Australia,
29350,2012,London,Aquatics,Swimming,Yolane Kukla,AUS,Women,4X100M Freestyle,Gold,Australia,
29351,2012,London,Aquatics,Swimming,Melanie Schlanger,AUS,Women,4X100M Freestyle,Gold,Australia,
29352,2012,London,Aquatics,Swimming,Emily Seebohm,AUS,Women,4X100M Freestyle,Gold,Australia,
29353,2012,London,Aquatics,Swimming,Libby Trickett,AUS,Women,4X100M Freestyle,Gold,Australia,
29354,2012,London,Aquatics,Swimming,Inge Dekker,NED,Women,4X100M Freestyle,Silver,Netherlands,
29355,2012,London,Aquatics,Swimming,Femke Heemskerk,NED,Women,4X100M Freestyle,Silver,Netherlands,
29356,2012,London,Aquatics,Swimming,Ranomi Kromowidjojo,NED,Women,4X100M Freestyle,Silver,Netherlands,
29357,2012,London,Aquatics,Swimming,Hinkelien Schreuder,NED,Women,4X100M Freestyle,Silver,Netherlands,
29358,2012,London,Aquatics,Swimming,Marleen Veldhuis,NED,Women,4X100M Freestyle,Silver,Netherlands,
29359,2012,London,Aquatics,Swimming,Natalie Coughlin,USA,Women,4X100M Freestyle,Bronze,United States,
29360,2012,London,Aquatics,Swimming,Missy Franklin,USA,Women,4X100M Freestyle,Bronze,United States,
29361,2012,London,Aquatics,Swimming,Jessica Hardy,USA,Women,4X100M Freestyle,Bronze,United States,
29362,2012,London,Aquatics,Swimming,Lia Neal,USA,Women,4X100M Freestyle,Bronze,United States,
29363,2012,London,Aquatics,Swimming,Allison Schmitt,USA,Women,4X100M Freestyle,Bronze,United States,
29364,2012,London,Aquatics,Swimming,Amanda Weir,USA,Women,4X100M Freestyle,Bronze,United States,
29365,2012,London,Aquatics,Swimming,Nathan Adrian,USA,Men,4X100M Medley,Gold,United States,
29366,2012,London,Aquatics,Swimming,Matthew Grevers,USA,Men,4X100M Medley,Gold,United States,
29367,2012,London,Aquatics,Swimming,Brendan Hansen,USA,Men,4X100M Medley,Gold,United States,
29368,2012,London,Aquatics,Swimming,Cullen Jones,USA,Men,4X100M Medley,Gold,United States,
29369,2012,London,Aquatics,Swimming,Tyler Mcgill,USA,Men,4X100M Medley,Gold,United States,
29370,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,4X100M Medley,Gold,United States,
29371,2012,London,Aquatics,Swimming,Eric Shanteau,USA,Men,4X100M Medley,Gold,United States,
29372,2012,London,Aquatics,Swimming,Nick Thoman,USA,Men,4X100M Medley,Gold,United States,
29373,2012,London,Aquatics,Swimming,Takuro Fujii,JPN,Men,4X100M Medley,Silver,Japan,
29374,2012,London,Aquatics,Swimming,Ryosuke Irie,JPN,Men,4X100M Medley,Silver,Japan,
29375,2012,London,Aquatics,Swimming,Kosuke Kitajima,JPN,Men,4X100M Medley,Silver,Japan,
29376,2012,London,Aquatics,Swimming,Takeshi Matsuda,JPN,Men,4X100M Medley,Silver,Japan,
29377,2012,London,Aquatics,Swimming,Tommaso Dorsogna,AUS,Men,4X100M Medley,Bronze,Australia,
29378,2012,London,Aquatics,Swimming,James Magnussen,AUS,Men,4X100M Medley,Bronze,Australia,
29379,2012,London,Aquatics,Swimming,Brenton Rickard,AUS,Men,4X100M Medley,Bronze,Australia,
29380,2012,London,Aquatics,Swimming,Christian Sprenger,AUS,Men,4X100M Medley,Bronze,Australia,
29381,2012,London,Aquatics,Swimming,Hayden Stoeckel,AUS,Men,4X100M Medley,Bronze,Australia,
29382,2012,London,Aquatics,Swimming,Matt Targett,AUS,Men,4X100M Medley,Bronze,Australia,
29383,2012,London,Aquatics,Swimming,Rachel Bootsma,USA,Women,4X100M Medley,Gold,United States,
29384,2012,London,Aquatics,Swimming,Claire Donahue,USA,Women,4X100M Medley,Gold,United States,
29385,2012,London,Aquatics,Swimming,Missy Franklin,USA,Women,4X100M Medley,Gold,United States,
29386,2012,London,Aquatics,Swimming,Jessica Hardy,USA,Women,4X100M Medley,Gold,United States,
29387,2012,London,Aquatics,Swimming,Breeja Larson,USA,Women,4X100M Medley,Gold,United States,
29388,2012,London,Aquatics,Swimming,Allison Schmitt,USA,Women,4X100M Medley,Gold,United States,
29389,2012,London,Aquatics,Swimming,Rebecca Soni,USA,Women,4X100M Medley,Gold,United States,
29390,2012,London,Aquatics,Swimming,Dana Vollmer,USA,Women,4X100M Medley,Gold,United States,
29391,2012,London,Aquatics,Swimming,Alicia Coutts,AUS,Women,4X100M Medley,Silver,Australia,
29392,2012,London,Aquatics,Swimming,Brittany Elmslie,AUS,Women,4X100M Medley,Silver,Australia,
29393,2012,London,Aquatics,Swimming,Leisel Jones,AUS,Women,4X100M Medley,Silver,Australia,
29394,2012,London,Aquatics,Swimming,Melanie Schlanger,AUS,Women,4X100M Medley,Silver,Australia,
29395,2012,London,Aquatics,Swimming,Emily Seebohm,AUS,Women,4X100M Medley,Silver,Australia,
29396,2012,London,Aquatics,Swimming,Yuka Kato,JPN,Women,4X100M Medley,Bronze,Japan,
29397,2012,London,Aquatics,Swimming,Satomi Suzuki,JPN,Women,4X100M Medley,Bronze,Japan,
29398,2012,London,Aquatics,Swimming,Aya Terakawa,JPN,Women,4X100M Medley,Bronze,Japan,
29399,2012,London,Aquatics,Swimming,Haruka Ueda,JPN,Women,4X100M Medley,Bronze,Japan,
29400,2012,London,Aquatics,Swimming,Ricky Berens,USA,Men,4X200M Freestyle,Gold,United States,
29401,2012,London,Aquatics,Swimming,Conor Dwyer,USA,Men,4X200M Freestyle,Gold,United States,
29402,2012,London,Aquatics,Swimming,Charlie Houchin,USA,Men,4X200M Freestyle,Gold,United States,
29403,2012,London,Aquatics,Swimming,Ryan Lochte,USA,Men,4X200M Freestyle,Gold,United States,
29404,2012,London,Aquatics,Swimming,Matthew Mclean,USA,Men,4X200M Freestyle,Gold,United States,
29405,2012,London,Aquatics,Swimming,Michael Phelps,USA,Men,4X200M Freestyle,Gold,United States,
29406,2012,London,Aquatics,Swimming,Davis Tarwater,USA,Men,4X200M Freestyle,Gold,United States,
29407,2012,London,Aquatics,Swimming,Yannick Agnel,FRA,Men,4X200M Freestyle,Silver,France,
29408,2012,London,Aquatics,Swimming,Clement Lefert,FRA,Men,4X200M Freestyle,Silver,France,
29409,2012,London,Aquatics,Swimming,Amaury Leveaux,FRA,Men,4X200M Freestyle,Silver,France,
29410,2012,London,Aquatics,Swimming,Gregory Mallet,FRA,Men,4X200M Freestyle,Silver,France,
29411,2012,London,Aquatics,Swimming,Jeremy Stravius,FRA,Men,4X200M Freestyle,Silver,France,
29412,2012,London,Aquatics,Swimming,Jun Dai,CHN,Men,4X200M Freestyle,Bronze,China,
