,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
119,1896,Athens,Shooting,Shooting,Sumner Paine,USA,Men,25M Army Pistol,Silver,United States
120,1896,Athens,Shooting,Shooting,Holger Nielsen,DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze,Denmark
121,1896,Athens,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold,Greece
122,1896,Athens,Shooting,Shooting,Georgios Orphanidis,GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver,Greece
123,1896,Athens,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,50M Pistol (60 Shots),Bronze,Greece
124,1896,Athens,Shooting,Shooting,Sumner Paine,USA,Men,50M Pistol (60 Shots),Gold,United States
125,1896,Athens,Shooting,Shooting,Holger Nielsen,DEN,Men,50M Pistol (60 Shots),Silver,Denmark
126,1896,Athens,Shooting,Shooting,Nicolaos Trikupis,GRE,Men,"Army Rifle, 200M",Bronze,Greece
127,1896,Athens,Shooting,Shooting,Pantelis Karasevdas,GRE,Men,"Army Rifle, 200M",Gold,Greece
128,1896,Athens,Shooting,Shooting,Pavlos Pavlidis,GRE,Men,"Army Rifle, 200M",Silver,Greece
129,1896,Athens,Shooting,Shooting,Viggo Jensen,DEN,Men,"Army Rifle, 300M",Bronze,Denmark
130,1896,Athens,Shooting,Shooting,Georgios Orphanidis,GRE,Men,"Army Rifle, 300M",Gold,Greece
131,1896,Athens,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,"Army Rifle, 300M",Silver,Greece
132,1896,Athens,Tennis,Tennis,Edwin Flack,ZZX,Men,Doubles,Bronze,
133,1896,Athens,Tennis,Tennis,George Stuart Robertson,ZZX,Men,Doubles,Bronze,
134,1896,Athens,Tennis,Tennis,John Boland,ZZX,Men,Doubles,Gold,
135,1896,Athens,Tennis,Tennis,Friedrich Traun,ZZX,Men,Doubles,Gold,
136,1896,Athens,Tennis,Tennis,Dionysios Kasdaglis,ZZX,Men,Doubles,Silver,
137,1896,Athens,Tennis,Tennis,Demetrios Petrokokkinos,ZZX,Men,Doubles,Silver,
138,1896,Athens,Tennis,Tennis,Konstantinos Paspatis,GRE,Men,Singles,Bronze,Greece
139,1896,Athens,Tennis,Tennis,Momcsillo Tapavicza,HUN,Men,Singles,Bronze,Hungary
140,1896,Athens,Tennis,Tennis,John Boland,GBR,Men,Singles,Gold,United Kingdom
141,1896,Athens,Tennis,Tennis,Dionysios Kasdaglis,GRE,Men,Singles,Silver,Greece
142,1896,Athens,Weightlifting,Weightlifting,Alexandros Nikolopoulos,GRE,Men,Heavyweight - One Hand Lift,Bronze,Greece
143,1896,Athens,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,Heavyweight - One Hand Lift,Gold,United Kingdom
144,1896,Athens,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,Heavyweight - One Hand Lift,Silver,Denmark
145,1896,Athens,Weightlifting,Weightlifting,Sotirios Versis,GRE,Men,Heavyweight - Two Hand Lift,Bronze,Greece
146,1896,Athens,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,Heavyweight - Two Hand Lift,Gold,Denmark
147,1896,Athens,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,Heavyweight - Two Hand Lift,Silver,United Kingdom
148,1896,Athens,Wrestling,Wrestling Gre-R,Stephanos Christopoulos,GRE,Men,Open Event,Bronze,Greece
149,1896,Athens,Wrestling,Wrestling Gre-R,Carl Schumann,GER,Men,Open Event,Gold,Germany
150,1896,Athens,Wrestling,Wrestling Gre-R,Georgios Tsitas,GRE,Men,Open Event,Silver,Greece
151,1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,1500M Freestyle,Bronze,Hungary
152,1900,Paris,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,1500M Freestyle,Gold,United Kingdom
153,1900,Paris,Aquatics,Swimming,Otto Wahle,AUT,Men,1500M Freestyle,Silver,Austria
154,1900,Paris,Aquatics,Swimming,Johannes Drost,NED,Men,200M Backstroke,Bronze,Netherlands
155,1900,Paris,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200M Backstroke,Gold,Germany
156,1900,Paris,Aquatics,Swimming,Karl Ruberl,AUT,Men,200M Backstroke,Silver,Austria
157,1900,Paris,Aquatics,Swimming,Karl Ruberl,AUT,Men,200M Freestyle,Bronze,Austria
158,1900,Paris,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200M Freestyle,Gold,Australia
159,1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,200M Freestyle,Silver,Hungary
160,1900,Paris,Aquatics,Swimming,Peter Kemp,GBR,Men,200M Obstacle Event,Bronze,United Kingdom
161,1900,Paris,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200M Obstacle Event,Gold,Australia
